config_id,config_source,center_id,fold_id,phase,status,error_message,valid_rmsle,valid_rmse_log,best_nrounds,elapsed_seconds,train_rows,valid_rows,n_columns,eta,max_depth,min_child_weight,subsample,colsample_bytree,gamma,lambda,alpha
local_003,local_refinement,random_027,inner_2,local_refinement,ok,,0.734528761873157,0.734528761873157,5000,3.91017508506775,1300255,157920,257,0.0788765140582978,8,5.90570941453752,0.98890665108338,0.6,0.0124526976125845,1.89215594348141,0.0127749826252159
local_004,local_refinement,reference_config,inner_2,local_refinement,ok,,0.730725861288025,0.730725861288025,5000,5.2416079044342,1300255,157920,257,0.0227832294486619,7,2.36091895756981,0.788389800201788,0.727464122980657,0.0112167976386891,0.746490756009988,0
local_005,local_refinement,random_004,inner_2,local_refinement,ok,,0.725197573570645,0.725197573570645,5000,3.55896997451782,1300255,157920,257,0.0548720234822726,6,1,0.754817306064069,0.838180578360334,0.00274692102788867,0.398127913848003,2.30561011177835
local_006,local_refinement,random_027,inner_2,local_refinement,ok,,0.714274760301709,0.714274760301709,5000,3.34188985824585,1300255,157920,257,0.0627897943314154,6,3.65610095244902,1,0.684012093348429,0.0209148332827923,1.13354509762271,0.000150171760365001
local_007,local_refinement,reference_config,inner_2,local_refinement,ok,,0.712531426758149,0.712531426758149,5000,3.66411089897156,1300255,157920,257,0.0493090869396267,6,5.85508228170317,0.846080423371553,0.6,0.00968556940082627,0.674772367227067,0.0037512103653213
local_008,local_refinement,random_004,inner_2,local_refinement,ok,,0.733380932091904,0.733380932091904,5000,3.4511239528656,1300255,157920,257,0.088519328635039,7,1.50551344073767,0.711934115644544,0.847380450554192,0.180348537035555,0.39469408669667,3.82344611060793
local_009,local_refinement,random_027,inner_2,local_refinement,ok,,0.733073032721327,0.733073032721327,5000,3.99288201332092,1300255,157920,257,0.0733114846549301,8,6.04902097280625,0.832181085366756,0.692373051634058,0.00326540265697943,0.398190560706497,0.102737319820376
local_010,local_refinement,reference_config,inner_2,local_refinement,ok,,0.731350965903181,0.731350965903181,5000,4.11076188087463,1300255,157920,257,0.0499299726682446,7,4.38663051834403,0.918041209216847,0.72280078488757,0.00587159528318717,0.303108498188566,0.0130391641327231
local_011,local_refinement,random_004,inner_2,local_refinement,ok,,0.724008403784755,0.724008403784755,5000,3.02890992164612,1300255,157920,257,0.0924401420022295,6,1.47055971518527,0.73817216004245,0.81837516524829,0.00296144366429696,0.265682278182462,0
local_012,local_refinement,reference_config,inner_2,local_refinement,ok,,0.730994613683743,0.730994613683743,5000,4.16773891448975,1300255,157920,257,0.0422099846390407,7,6.32610815008437,0.94803036417967,0.741840214798051,0.0171676026831164,0.141054863161425,0.0033382159330789
local_013,local_refinement,random_004,inner_2,local_refinement,ok,,0.735186078708798,0.735186078708798,5000,4.14780187606812,1300255,157920,257,0.0457907856450875,7,1.15677965751147,0.719139098422602,0.860126170376316,0.00312663853828611,0.0747491652798138,2.20992760083611
local_014,local_refinement,random_027,inner_2,local_refinement,ok,,0.712699749186366,0.712699749186366,5000,3.18195819854736,1300255,157920,257,0.0764752704120429,6,3.66193824181156,0.986596576450393,0.634141916455701,0.00944027277218028,0.474261469513313,0
local_015,local_refinement,reference_config,inner_2,local_refinement,ok,,0.730724872879465,0.730724872879465,5000,4.63257193565369,1300255,157920,257,0.0319242150312245,7,4.11404896530956,0.902641407439172,0.697183486264023,0.0124977117340595,0.0967215655582092,0
local_016,local_refinement,random_004,inner_2,local_refinement,ok,,0.734590386442072,0.734590386442072,5000,3.20701909065247,1300255,157920,257,0.109868400884107,7,1,0.834695297759026,0.951891641458496,0.0666198856873879,0.341592705395391,3.99389027553149
